customer_id,name,email,country
1,Kristen Wright,kristenwright@gmail.com,South Georgia and the South Sandwich Islands
2,Jessica Carter,jessicacarter@gmail.com,Congo
3,Michael Reynolds,michaelreynolds@gmail.com,Yemen
4,Tracy Hale,tracyhale@gmail.com,Botswana
5,Shaun Delgado,shaundelgado@gmail.com,Ethiopia
6,Shawn Hernandez,shawnhernandez@gmail.com,Algeria
7,Timothy Lewis,timothylewis@gmail.com,Macao
8,John Barker,johnbarker@gmail.com,Nauru
9,Joel Robertson,joelrobertson@gmail.com,Georgia
10,Whitney Morse,,Micronesia
11,Terri Bray,terribray@gmail.com,Greenland
12,Ashley Collins,ashleycollins@gmail.com,Peru
13,Jessica Hill,jessicahill@gmail.com,Marshall Islands
14,Adam Watson,adamwatson@gmail.com,Ghana
15,Cynthia Moore,,Guyana
16,Joshua Weaver,joshuaweaver@gmail.com,Malawi
17,Jessica Campbell,jessicacampbell@gmail.com,Guinea-Bissau
18,Michael Rodriguez,michaelrodriguez@gmail.com,Greenland
19,Michael Jacobson,michaeljacobson@gmail.com,Jersey
20,###INVALID###,,Martinique
21,Carolyn Arnold,carolynarnold@gmail.com,Heard Island and McDonald Islands
22,Anthony Rodriguez,anthonyrodriguez@gmail.com,Hong Kong
23,Amy Lawrence,amylawrence@gmail.com,Saint Pierre and Miquelon
24,Cathy Mclean,cathymclean@gmail.com,Kuwait
25,Justin Sawyer,justinsawyer@gmail.com,Greece
26,Dana Stewart,danastewart@gmail.com,Korea
27,Derrick Davis,derrickdavis@gmail.com,Tunisia
28,Stephen Watson,stephenwatson@gmail.com,Mexico
29,Joshua Gutierrez DDS,joshuagutierrezdds@gmail.com,Guam
30,Lindsay Cain DVM,,Belgium
31,Derek Aguilar,derekaguilar@gmail.com,Jamaica
32,Jason Holland,jasonholland@gmail.com,Tunisia
33,Patricia Kemp,patriciakemp@gmail.com,Greece
34,Linda Peterson MD,lindapetersonmd@gmail.com,Gibraltar
35,Peggy Hall,peggyhall@gmail.com,Slovenia
36,Rachel Taylor,racheltaylor@gmail.com,Iceland
37,Jade Newman,jadenewman@gmail.com,Haiti
38,Brenda Steele,brendasteele@gmail.com,Norway
39,Charles White,charleswhite@gmail.com,Kuwait
40,###INVALID###,,Portugal
41,Yolanda Smith,yolandasmith@gmail.com,Russian Federation
42,Daniel Wilson,danielwilson@gmail.com,Sudan
43,Eric Little,ericlittle@gmail.com,French Polynesia
44,Amanda Sloan,amandasloan@gmail.com,Belgium
45,Derek Gallagher,,Korea
46,Jeanette Davis,jeanettedavis@gmail.com,Cuba
47,Cynthia Sanchez,cynthiasanchez@gmail.com,New Caledonia
48,Robert Johnson,robertjohnson@gmail.com,American Samoa
49,Brett Diaz,brettdiaz@gmail.com,Mexico
50,Scott Wood,,Canada
51,Michelle White,michellewhite@gmail.com,Saint Lucia
52,Sarah Smith,sarahsmith@gmail.com,Colombia
53,Michael Miles,michaelmiles@gmail.com,Estonia
54,Michael Dean,michaeldean@gmail.com,United States Minor Outlying Islands
55,Gregory Rogers,gregoryrogers@gmail.com,Israel
56,Todd Suarez,toddsuarez@gmail.com,Pitcairn Islands
57,Amy Pope,amypope@gmail.com,Bulgaria
58,Chad White,chadwhite@gmail.com,Libyan Arab Jamahiriya
59,Lauren Mcmillan,laurenmcmillan@gmail.com,French Guiana
60,###INVALID###,,Angola
61,Jennifer Graves,jennifergraves@gmail.com,Jordan
62,Cameron Ramirez,cameronramirez@gmail.com,British Indian Ocean Territory (Chagos Archipelago)
63,Frank Young,frankyoung@gmail.com,Turks and Caicos Islands
64,Jennifer Bryant,jenniferbryant@gmail.com,Cyprus
65,Jennifer Harvey,jenniferharvey@gmail.com,Anguilla
66,Jennifer Farley,jenniferfarley@gmail.com,Guatemala
67,Patrick Moyer,patrickmoyer@gmail.com,Portugal
68,Daniel Hodges,danielhodges@gmail.com,Martinique
69,Jennifer Olson,jenniferolson@gmail.com,Norway
70,Steven Williams,,Antigua and Barbuda
