customer_id,name,email,country
1,Aaron Garner,aarongarner@gmail.com,Greece
2,Shannon Merritt,shannonmerritt@gmail.com,Saint Barthelemy
3,Sherry Murray,sherrymurray@gmail.com,Timor-Leste
4,Thomas Jimenez,thomasjimenez@gmail.com,Switzerland
5,Christopher Reyes,christopherreyes@gmail.com,Mauritius
6,Katherine Henson,katherinehenson@gmail.com,Brunei Darussalam
7,Vanessa Anderson,vanessaanderson@gmail.com,Saint Barthelemy
8,Christy Garcia,christygarcia@gmail.com,Saint Martin
9,Mary Harvey,maryharvey@gmail.com,Australia
10,Jennifer Payne,,Peru
11,Denise Williams,denisewilliams@gmail.com,Cook Islands
12,Grace Brown,gracebrown@gmail.com,Czech Republic
13,Jason Arnold,jasonarnold@gmail.com,Mongolia
14,Bradley Obrien,bradleyobrien@gmail.com,Italy
15,Ethan Sloan,,Antarctica (the territory South of 60 deg S)
16,Jonathan Herrera,jonathanherrera@gmail.com,Bouvet Island (Bouvetoya)
17,Alexandra Hickman,alexandrahickman@gmail.com,Western Sahara
18,Daniel Gray,danielgray@gmail.com,Dominica
19,Denise Kidd,denisekidd@gmail.com,Guatemala
20,##INVALID##,,Reunion
21,Ryan Abbott,ryanabbott@gmail.com,New Caledonia
22,Linda Jennings,lindajennings@gmail.com,Mexico
23,William Harrison,williamharrison@gmail.com,Namibia
24,Christine Cooper,christinecooper@gmail.com,Pakistan
25,Monica Torres,monicatorres@gmail.com,Hong Kong
26,Michael Cruz,michaelcruz@gmail.com,Greenland
27,James Middleton,jamesmiddleton@gmail.com,Niger
28,Jacqueline Burton,jacquelineburton@gmail.com,Bahrain
29,Scott Rios,scottrios@gmail.com,Fiji
30,Shawn Lloyd,,Kuwait
31,Leslie Wood,lesliewood@gmail.com,Haiti
32,Susan Gonzalez,susangonzalez@gmail.com,United States Minor Outlying Islands
33,Holly Thomas,hollythomas@gmail.com,Saint Vincent and the Grenadines
34,Thomas Whitehead,thomaswhitehead@gmail.com,Seychelles
35,Jonathan Benson,jonathanbenson@gmail.com,American Samoa
36,Tyler White,tylerwhite@gmail.com,United Kingdom
37,Jason Macias,jasonmacias@gmail.com,Belarus
38,Cindy Brown,cindybrown@gmail.com,Georgia
39,Stacy Henry,stacyhenry@gmail.com,Jordan
40,##INVALID##,,Bolivia
41,Michael Hernandez,michaelhernandez@gmail.com,Netherlands Antilles
42,Amy Rodriguez,amyrodriguez@gmail.com,American Samoa
43,Tara Marshall,taramarshall@gmail.com,Iraq
44,Kathryn Kirby,kathrynkirby@gmail.com,Palestinian Territory
45,Julia Tran,,Austria
46,Carly Hill,carlyhill@gmail.com,Montserrat
47,Julia Williams,juliawilliams@gmail.com,Belgium
48,Joan Baker,joanbaker@gmail.com,Isle of Man
49,Robert Juarez,robertjuarez@gmail.com,Ghana
50,Cheryl Donaldson DDS,,Iraq
51,Timothy Bates,timothybates@gmail.com,Eritrea
52,Allison Hawkins,allisonhawkins@gmail.com,Costa Rica
53,David Simpson,davidsimpson@gmail.com,French Guiana
54,Mary Mitchell,marymitchell@gmail.com,Switzerland
55,John Kramer,johnkramer@gmail.com,France
56,Denise Morrow,denisemorrow@gmail.com,Netherlands
57,Abigail Stephenson,abigailstephenson@gmail.com,Turks and Caicos Islands
58,Samantha Young,samanthayoung@gmail.com,American Samoa
59,John Marshall,johnmarshall@gmail.com,Ecuador
60,##INVALID##,,Greenland
61,Mr. Thomas Wright DDS,mr.thomaswrightdds@gmail.com,Tunisia
62,Alexandria Wood,alexandriawood@gmail.com,Monaco
63,Sarah Perez,sarahperez@gmail.com,United States of America
64,Connie Williams,conniewilliams@gmail.com,Thailand
65,Betty Carter,bettycarter@gmail.com,Kyrgyz Republic
66,David Bailey,davidbailey@gmail.com,Romania
67,Renee Rosario,reneerosario@gmail.com,Kenya
68,Anthony Bernard,anthonybernard@gmail.com,Georgia
69,Philip Torres,philiptorres@gmail.com,Tunisia
70,John Peterson,,Christmas Island
